state_abbr,name,party,term_start,term_end,source_url
AL,Bob Riley,Republican,2003-01-21,2011-01-17,https://en.wikipedia.org/wiki/List_of_governors_of_Alabama
AL,Robert J. Bentley,Republican,2011-01-18,2017-04-10,https://en.wikipedia.org/wiki/List_of_governors_of_Alabama
AL,Kay Ivey,Republican,2017-04-10,,https://en.wikipedia.org/wiki/List_of_governors_of_Alabama
AK,Sarah Palin,Republican,2006-12-04,2009-07-26,https://en.wikipedia.org/wiki/List_of_governors_of_Alaska
AK,Sean Parnell,Republican,2009-07-26,2014-12-01,https://en.wikipedia.org/wiki/List_of_governors_of_Alaska
AK,Bill Walker,Independent,2014-12-01,2018-12-03,https://en.wikipedia.org/wiki/List_of_governors_of_Alaska
AK,Mike Dunleavy,Republican,2018-12-03,,https://en.wikipedia.org/wiki/List_of_governors_of_Alaska
AZ,Janet Napolitano,Democratic,2003-01-06,2009-01-20,https://en.wikipedia.org/wiki/List_of_governors_of_Arizona
AZ,Jan Brewer,Republican,2009-01-20,2015-01-05,https://en.wikipedia.org/wiki/List_of_governors_of_Arizona
AZ,Doug Ducey,Republican,2015-01-05,2023-01-02,https://en.wikipedia.org/wiki/List_of_governors_of_Arizona
AZ,Katie Hobbs,Democratic,2023-01-02,,https://en.wikipedia.org/wiki/List_of_governors_of_Arizona
AR,Mike Huckabee,Republican,1996-07-15,2007-01-09,https://en.wikipedia.org/wiki/List_of_governors_of_Arkansas
AR,Mike Beebe,Democratic,2007-01-09,2015-01-13,https://en.wikipedia.org/wiki/List_of_governors_of_Arkansas
AR,Asa Hutchinson,Republican,2015-01-13,2023-01-10,https://en.wikipedia.org/wiki/List_of_governors_of_Arkansas
AR,Sarah Huckabee Sanders,Republican,2023-01-10,,https://en.wikipedia.org/wiki/List_of_governors_of_Arkansas
CA,Arnold Schwarzenegger,Republican,2003-11-17,2011-01-03,https://en.wikipedia.org/wiki/List_of_governors_of_California
CA,Jerry Brown,Democratic,2011-01-03,2019-01-07,https://en.wikipedia.org/wiki/List_of_governors_of_California
CA,Gavin Newsom,Democratic,2019-01-07,,https://en.wikipedia.org/wiki/List_of_governors_of_California
CO,Bill Owens,Republican,1999-01-12,2007-01-09,https://en.wikipedia.org/wiki/List_of_governors_of_Colorado
CO,Bill Ritter,Democratic,2007-01-09,2011-01-11,https://en.wikipedia.org/wiki/List_of_governors_of_Colorado
CO,John Hickenlooper,Democratic,2011-01-11,2019-01-08,https://en.wikipedia.org/wiki/List_of_governors_of_Colorado
CO,Jared Polis,Democratic,2019-01-08,,https://en.wikipedia.org/wiki/List_of_governors_of_Colorado
CT,Jodi Rell,Republican,2007-01-01,2011-01-05,https://en.wikipedia.org/wiki/List_of_governors_of_Connecticut
CT,Dannel Malloy,Democratic,2011-01-05,2019-01-09,https://en.wikipedia.org/wiki/List_of_governors_of_Connecticut
CT,Ned Lamont,Democratic,2019-01-09,,https://en.wikipedia.org/wiki/List_of_governors_of_Connecticut
DE,Ruth Ann Minner,Democratic,2001-01-03,2009-01-20,https://en.wikipedia.org/wiki/List_of_governors_of_Delaware
DE,Jack Markell,Democratic,2009-01-20,2017-01-17,https://en.wikipedia.org/wiki/List_of_governors_of_Delaware
DE,John Carney,Democratic,2017-01-17,2025-01-07,https://en.wikipedia.org/wiki/List_of_governors_of_Delaware
DE,Bethany Hall-Long,Democratic,2025-01-07,2025-01-21,https://en.wikipedia.org/wiki/List_of_governors_of_Delaware
DE,Matt Meyer,Democratic,2025-01-21,,https://en.wikipedia.org/wiki/List_of_governors_of_Delaware
FL,Jeb Bush,Republican,1999-01-05,2007-01-02,https://en.wikipedia.org/wiki/List_of_governors_of_Florida
FL,Charlie Crist,Republican,2007-01-02,2011-01-04,https://en.wikipedia.org/wiki/List_of_governors_of_Florida
FL,Rick Scott,Republican,2011-01-04,2019-01-07,https://en.wikipedia.org/wiki/List_of_governors_of_Florida
FL,Ron DeSantis,Republican,2019-01-08,,https://en.wikipedia.org/wiki/List_of_governors_of_Florida
GA,Sonny Perdue,Republican,2003-01-13,2011-01-10,https://en.wikipedia.org/wiki/List_of_governors_of_Georgia
GA,Nathan Deal,Republican,2011-01-10,2019-01-14,https://en.wikipedia.org/wiki/List_of_governors_of_Georgia
GA,Brian Kemp,Republican,2019-01-14,,https://en.wikipedia.org/wiki/List_of_governors_of_Georgia
HI,Linda Lingle,Republican,2002-12-02,2010-12-06,https://en.wikipedia.org/wiki/List_of_governors_of_Hawaii
HI,Neil Abercrombie,Democratic,2010-12-06,2014-12-01,https://en.wikipedia.org/wiki/List_of_governors_of_Hawaii
HI,David Ige,Democratic,2014-12-01,2022-12-05,https://en.wikipedia.org/wiki/List_of_governors_of_Hawaii
HI,Josh Green,Democratic,2022-12-05,,https://en.wikipedia.org/wiki/List_of_governors_of_Hawaii
ID,Jim Risch,Republican,2006-05-26,2007-01-01,https://en.wikipedia.org/wiki/List_of_governors_of_Idaho
ID,Butch Otter,Republican,2007-01-01,2019-01-07,https://en.wikipedia.org/wiki/List_of_governors_of_Idaho
ID,Brad Little,Republican,2019-01-07,,https://en.wikipedia.org/wiki/List_of_governors_of_Idaho
IL,Rod Blagojevich,Democratic,2003-01-13,2009-01-29,https://en.wikipedia.org/wiki/List_of_governors_of_Illinois
IL,Pat Quinn,Democratic,2009-01-29,2015-01-12,https://en.wikipedia.org/wiki/List_of_governors_of_Illinois
IL,Bruce Rauner,Republican,2015-01-12,2019-01-14,https://en.wikipedia.org/wiki/List_of_governors_of_Illinois
IL,J. B. Pritzker,Democratic,2019-01-14,,https://en.wikipedia.org/wiki/List_of_governors_of_Illinois
IN,Mitch Daniels,Republican,2005-01-10,2013-01-14,https://en.wikipedia.org/wiki/List_of_governors_of_Indiana
IN,Mike Pence,Republican,2013-01-14,2017-01-09,https://en.wikipedia.org/wiki/List_of_governors_of_Indiana
IN,Eric Holcomb,Republican,2017-01-09,2025-01-13,https://en.wikipedia.org/wiki/List_of_governors_of_Indiana
IN,Mike Braun,Republican,2025-01-13,,https://en.wikipedia.org/wiki/List_of_governors_of_Indiana
IA,Tom Vilsack,Democratic,1999-01-15,2007-01-12,https://en.wikipedia.org/wiki/List_of_governors_of_Iowa
IA,Chet Culver,Democratic,2007-01-12,2011-01-14,https://en.wikipedia.org/wiki/List_of_governors_of_Iowa
IA,Terry Branstad,Republican,2011-01-14,2017-05-24,https://en.wikipedia.org/wiki/List_of_governors_of_Iowa
IA,Kim Reynolds,Republican,2017-05-24,,https://en.wikipedia.org/wiki/List_of_governors_of_Iowa
KS,Kathleen Sebelius,Democratic,2003-01-13,2009-04-28,https://en.wikipedia.org/wiki/List_of_governors_of_Kansas
KS,Mark Parkinson,Democratic,2009-04-28,2011-01-10,https://en.wikipedia.org/wiki/List_of_governors_of_Kansas
KS,Sam Brownback,Republican,2011-01-10,2018-01-31,https://en.wikipedia.org/wiki/List_of_governors_of_Kansas
KS,Jeff Colyer,Republican,2018-01-31,2019-01-14,https://en.wikipedia.org/wiki/List_of_governors_of_Kansas
KS,Laura Kelly,Democratic,2019-01-14,,https://en.wikipedia.org/wiki/List_of_governors_of_Kansas
KY,J. C. W. Beckham,Democratic,2007-01-01,2007-12-10,https://en.wikipedia.org/wiki/List_of_governors_of_Kentucky
KY,Steve Beshear,Democratic,2007-12-11,2015-12-08,https://en.wikipedia.org/wiki/List_of_governors_of_Kentucky
KY,Matt Bevin,Republican,2015-12-08,2019-12-10,https://en.wikipedia.org/wiki/List_of_governors_of_Kentucky
KY,Andy Beshear,Democratic,2019-12-10,,https://en.wikipedia.org/wiki/List_of_governors_of_Kentucky
LA,Kathleen Blanco,Democratic,2004-01-12,2008-01-14,https://en.wikipedia.org/wiki/List_of_governors_of_Louisiana
LA,Bobby Jindal,Republican,2008-01-14,2016-01-11,https://en.wikipedia.org/wiki/List_of_governors_of_Louisiana
LA,John Bel Edwards,Democratic,2016-01-11,2024-01-08,https://en.wikipedia.org/wiki/List_of_governors_of_Louisiana
LA,Jeff Landry,Republican,2024-01-08,,https://en.wikipedia.org/wiki/List_of_governors_of_Louisiana
ME,John Baldacci,Democratic,2003-01-08,2011-01-05,https://en.wikipedia.org/wiki/List_of_governors_of_Maine
ME,Paul LePage,Republican,2011-01-05,2019-01-02,https://en.wikipedia.org/wiki/List_of_governors_of_Maine
ME,Janet Mills,Democratic,2019-01-02,,https://en.wikipedia.org/wiki/List_of_governors_of_Maine
MD,Bob Ehrlich,Republican,2003-01-15,2007-01-17,https://en.wikipedia.org/wiki/List_of_governors_of_Maryland
MD,Martin O'Malley,Democratic,2007-01-17,2015-01-21,https://en.wikipedia.org/wiki/List_of_governors_of_Maryland
MD,Larry Hogan,Republican,2015-01-21,2023-01-18,https://en.wikipedia.org/wiki/List_of_governors_of_Maryland
MD,Wes Moore,Democratic,2023-01-18,,https://en.wikipedia.org/wiki/List_of_governors_of_Maryland
MA,Mitt Romney,Republican,2003-01-02,2007-01-04,https://en.wikipedia.org/wiki/List_of_governors_of_Massachusetts
MA,Deval Patrick,Democratic,2007-01-04,2015-01-08,https://en.wikipedia.org/wiki/List_of_governors_of_Massachusetts
MA,Charlie Baker,Republican,2015-01-08,2023-01-05,https://en.wikipedia.org/wiki/List_of_governors_of_Massachusetts
MA,Maura Healey,Democratic,2023-01-05,,https://en.wikipedia.org/wiki/List_of_governors_of_Massachusetts
MI,Jennifer Granholm,Democratic,2003-01-01,2011-01-01,https://en.wikipedia.org/wiki/List_of_governors_of_Michigan
MI,Rick Snyder,Republican,2011-01-01,2019-01-01,https://en.wikipedia.org/wiki/List_of_governors_of_Michigan
MI,Gretchen Whitmer,Democratic,2019-01-01,,https://en.wikipedia.org/wiki/List_of_governors_of_Michigan
MN,Tim Pawlenty,Republican,2003-01-06,2011-01-03,https://en.wikipedia.org/wiki/List_of_governors_of_Minnesota
MN,Mark Dayton,Democratic,2011-01-03,2019-01-07,https://en.wikipedia.org/wiki/List_of_governors_of_Minnesota
MN,Tim Walz,Democratic,2019-01-07,,https://en.wikipedia.org/wiki/List_of_governors_of_Minnesota
MS,Haley Barbour,Republican,2004-01-13,2012-01-10,https://en.wikipedia.org/wiki/List_of_governors_of_Mississippi
MS,Phil Bryant,Republican,2012-01-10,2020-01-14,https://en.wikipedia.org/wiki/List_of_governors_of_Mississippi
MS,Tate Reeves,Republican,2020-01-14,,https://en.wikipedia.org/wiki/List_of_governors_of_Mississippi
MO,Matt Blunt,Republican,2005-01-10,2009-01-12,https://en.wikipedia.org/wiki/List_of_governors_of_Missouri
MO,Jay Nixon,Democratic,2009-01-12,2017-01-09,https://en.wikipedia.org/wiki/List_of_governors_of_Missouri
MO,Eric Greitens,Republican,2017-01-09,2018-06-01,https://en.wikipedia.org/wiki/List_of_governors_of_Missouri
MO,Mike Parson,Republican,2018-06-01,2025-01-13,https://en.wikipedia.org/wiki/List_of_governors_of_Missouri
MO,Mike Kehoe,Republican,2025-01-13,,https://en.wikipedia.org/wiki/List_of_governors_of_Missouri
MT,Brian Schweitzer,Democratic,2005-01-03,2013-01-07,https://en.wikipedia.org/wiki/List_of_governors_of_Montana
MT,Steve Bullock,Democratic,2013-01-07,2021-01-04,https://en.wikipedia.org/wiki/List_of_governors_of_Montana
MT,Greg Gianforte,Republican,2021-01-04,,https://en.wikipedia.org/wiki/List_of_governors_of_Montana
NE,Dave Heineman,Republican,2005-01-20,2015-01-08,https://en.wikipedia.org/wiki/List_of_governors_of_Nebraska
NE,Pete Ricketts,Republican,2015-01-08,2023-01-05,https://en.wikipedia.org/wiki/List_of_governors_of_Nebraska
NE,Jim Pillen,Republican,2023-01-05,,https://en.wikipedia.org/wiki/List_of_governors_of_Nebraska
NV,Kenny Guinn,Republican,1999-01-04,2007-01-01,https://en.wikipedia.org/wiki/List_of_governors_of_Nevada
NV,Jim Gibbons,Republican,2007-01-01,2011-01-03,https://en.wikipedia.org/wiki/List_of_governors_of_Nevada
NV,Brian Sandoval,Republican,2011-01-03,2019-01-07,https://en.wikipedia.org/wiki/List_of_governors_of_Nevada
NV,Steve Sisolak,Democratic,2019-01-07,2023-01-02,https://en.wikipedia.org/wiki/List_of_governors_of_Nevada
